村志代码 Gazetteer Code,村志书名 Gazetteer Title,村庄代码 Village Code,村名 - 汉字 Village Name - Chinese Characters,村名 - 汉语拼音 Village Name - Hanyu Pinyin,省 - 汉字 Province - Chinese Characters,省 - 汉语拼音 Province - Hanyu Pinyin,市 - 汉字 City - Chinese Characters,市 - 汉语拼音 City - Hanyu Pinyin,县 / 区 - 汉字 County / District - Chinese Characters,县 / 区 - 汉语拼音 County / District - Hanyu Pinyin,村庄总面积单位 Total Area Unit,村庄总面积 Total Area,经纬度 - 格式 Latitude and Longitude - Format,纬度 Latitude,经度 Longitude,距隶属县城距离单位 Distance to Affiliated to the county town - Unit,距隶属县城距离 Distance to Affiliated to the county town
0019,树园村志,310120501203,树园村,Shuyuan Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,奉贤区,Fengxian Qu,平方千米 / 平方公里 square kilometers,3,度分秒 DMS (degrees-minutes-seconds),30°55′N,121°27′E,没有相关数据 No Available Data,n/a
0020,西黄村村志,110115005206,西黄村,Xihuang Cun,北京市,Beijing Shi,北京市,Beijing Shi,大兴区,Daxing Qu,平方千米 / 平方公里 square kilometers,0.03,度分秒 DMS (degrees-minutes-seconds),39°42′N,n/a,没有相关数据 No Available Data,n/a
0021,张坊村志,110111110212,张坊村,Zhangfang Cun,北京市,Beijing Shi,北京市,Beijing Shi,房山区,Fangshan Qu,平方千米 / 平方公里 square kilometers,4.4,度分秒 DMS (degrees-minutes-seconds),39.4°N,94.1°E,里 li,80
0022,张家圩子村志,370921107223,张家圩子村,Zhangjiaweizi Cun,山东省,Shandong Sheng,泰安市,Taian Shi,宁阳县,Ningyang Xian,平方米 square meters,3126067,没有相关数据 No Available Data,n/a,n/a,没有相关数据 No Available Data,n/a
0023,凤池村志,350702105207,凤池村,Fengchi Cun,福建省,Fujian Sheng,南平市,Nanping Shi,延平区,Yanping Qu,亩 mu,13869,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0024,楼村志,440306007015,楼村,Lou Cun,广东省,Guangdong Sheng,深圳市,Shenzhen Shi,宝安区,Baoan Qu,平方千米 / 平方公里 square kilometers,37.6,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,30
0025,马头村志,520121206201,马头村,Matou Cun,贵州省,Guizhou Sheng,贵阳市,Guiyang Shi,开阳县,Kaiyang Xian,平方千米 / 平方公里 square kilometers,22.07,没有相关数据 No Available Data,,,公里/千米 kilometer,28
0026,孟莲村志,450109100203,孟莲村,Menglian Cun,广西壮族自治区,Guangxi Zhuangzu Zizhiqu,南宁市,Nanning Shi,邕宁区,Yongning Qu,平方千米 / 平方公里 square kilometers,4,没有相关数据 No Available Data,n/a,n/a,没有相关数据 No Available Data,n/a
0027,马岭村志,460201104001,马岭村,Maling Cun,海南省,Hainan Sheng,三亚市,Sanya Shi,天涯区,Tianya Qu,平方千米 / 平方公里 square kilometers,4,度分秒 DMS (degrees-minutes-seconds),18°18′N,106°19′E,没有相关数据 No Available Data,n/a
0028,莲塘村志,350822103222,莲塘村,Liantang Cun,福建省,Fujian Sheng,龙岩市,Longyan Shi,永定县,Yongding Xian,平方千米 / 平方公里 square kilometers,12,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0029,刘国忠村志,n/a,刘国忠村,Liuguozhong Cun,陕西省,Shanxi Sheng,榆林市,Yulin Shi,神木县,Shenmu Xian,平方千米 / 平方公里 square kilometers,35,没有相关数据 No Available Data,,,公里/千米 kilometer,60
0030,管元村志,520402006203,管元村,Guanyuan Cun,贵州省,Guizhou Sheng,安顺市,Anshun Shi,西秀区,Xixiu Qu,平方千米 / 平方公里 square kilometers,3.3,度分秒 DMS (degrees-minutes-seconds),26°14′N,105°55′E,没有相关数据 No Available Data,n/a
0031,南凤山村志,130107101003,南凤山村,Nanfengshan Cun,河北省,Hebei Sheng,石家庄市,Shijiazhuang Shi,井陉矿区,Jingxing Kuangqu,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,50
0032,井亭村志,310112107204,井亭村,Jingting Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,闵行区,Minhang Qu,平方千米 / 平方公里 square kilometers,2.14,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0033,见守村志,130129100206,见守村,Jianshou Cun,河北省,Hebei Sheng,石家庄市,Shijiazhuang Shi,赞皇县,Zanhuang Xian,平方千米 / 平方公里 square kilometers,16,度分秒 DMS (degrees-minutes-seconds),37°26'N,114°2'E,公里/千米 kilometer,44
0034,胡家村志,220105100208,胡家村,Hujia Cun,吉林省,Jilin Sheng,长春市,Changchun Shi,二道区,Erdao Qu,平方千米 / 平方公里 square kilometers,11.3,度分秒 DMS (degrees-minutes-seconds),43°54′34″N,125°22′5″E,没有相关数据 No Available Data,n/a
0035,洪塘头村志,350212108003,洪塘头村,Hongtangtou Cun,福建省,Fujian Sheng,厦门市,Xiamen Shi,同安区,Tongan Qu,平方千米 / 平方公里 square kilometers,5.37,度分秒 DMS (degrees-minutes-seconds),24°32'N,n/a,没有相关数据 No Available Data,n/a
0036,周家巷村志,320412100223,周家巷村,Zhoujiaxiang Cun,江苏省,Jiangsu Sheng,常州市,Changzhou Shi,武进区,Wujin Qu,平方千米 / 平方公里 square kilometers,1.1,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,6
0037,联盟村志,610303100007,联盟村,Lianmeng Cun,陕西省,Shanxi Sheng,宝鸡市,Baoji Shi,金台区,Jintai Qu,平方千米 / 平方公里 square kilometers,2.91,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0038,梁口村志,130983204216,梁口村,Liangkou Cun,河北省,Hebei Sheng,沧州市,Cangzhou Shi,黄骅市,Huanghua Shi,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,30
0039,骏马村志,310230113210,骏马村,Junma Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,崇明区,Chongming Qu,平方千米 / 平方公里 square kilometers,3.7,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0040,金家坪村志,430702205205,金家坪村,Jinjiaping Cun,湖南省,Hunan Sheng,常德市,Changde Shi,武陵区,Wuling Qu,平方千米 / 平方公里 square kilometers,4.68,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0041,博潭村志,469023100204,博谭村,Botan Cun,海南省,Hainan Sheng,澄迈县,Chengmai Xian,澄迈县,Chengmai Xian,平方千米 / 平方公里 square kilometers,5.5,没有相关数据 No Available Data,n/a,n/a,没有相关数据 No Available Data,n/a
0042,新桥村志,310112107205,新桥村,Xinqiao Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,闵行区,Minhang Qu,平方千米 / 平方公里 square kilometers,2,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0043,草厂村志,110108104213,草厂村,Caochang Cun,北京市,Beijing Shi,北京市,Beijing Shi,海淀区,Haidian Qu,亩 mu,6800,度分秒 DMS (degrees-minutes-seconds),40°4'N,116°6'E,没有相关数据 No Available Data,n/a
0044,大吕庄村志,410526201201,大吕庄村,Dalüzhuang Cun,河南省,Henan Sheng,安阳市,Anyang Shi,滑县,Hua Xian,平方千米 / 平方公里 square kilometers,6.52,度分秒 DMS (degrees-minutes-seconds),35°40′N,114°58′E,公里/千米 kilometer,28
0045,定安村志,620724201200,定安村,Ding'an Cun,甘肃省,Gansu Sheng,张掖市,Zhangye Shi,高台县,Gaotai Xian,亩 mu,8360.7,度分秒 DMS (degrees-minutes-seconds),39°28′50″N,99°40′E,公里/千米 kilometer,14
0046,方家村志,210212400204,方家村,Fangjia Cun,辽宁省,Liaoning Sheng,大连市,Dalian Shi,旅顺口区,Lüshunkou Qu,平方千米 / 平方公里 square kilometers,2.71,度分秒 DMS (degrees-minutes-seconds),38°49′N,121°09′E,公里/千米 kilometer,5
0047,冯桥村志,310120502002,冯桥村,Fengqiao Cun,上海市,Shanghai Shi,上海市,Shanghai Shi,奉贤区,Fengxian Qu,平方千米 / 平方公里 square kilometers,4.76,度分秒 DMS (degrees-minutes-seconds),30.47°N,120.4°E,没有相关数据 No Available Data,n/a
0048,小瓦窑村志,110106201215,小瓦窑村,Xiaowayao Cun,北京市,Beijing Shi,北京市,Beijing Shi,丰台区,Fengtai Qu,公顷 hectares,353.8,度分秒 DMS (degrees-minutes-seconds),39.57°N,116.5°E,没有相关数据 No Available Data,n/a
0049,富强村志,330621103235,富强村,Fuqiang Cun,浙江省,Zhejiang Sheng,绍兴市,Shaoxing Shi,绍兴县,Shaoxing Xian,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,公里/千米 kilometer,6
0050,音西村志,350181007201,音西村,Yinxi Cun,福建省,Fujian Sheng,福州市,Fuzhou Shi,福清市,Fuqing Shi,平方千米 / 平方公里 square kilometers,8,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0051,潭前王村志,445221112203,潭前王村,Tanqianwang Cun,广东省,Guangdong Sheng,揭阳市,Jieyang Shi,揭东县,Jiedong Xian,平方千米 / 平方公里 square kilometers,3.8,度分秒 DMS (degrees-minutes-seconds),23°34′N,116°17′E,没有相关数据 No Available Data,n/a
0052,郭家沟村志,210212012206,郭家沟村,Guojiagou Cun,辽宁省,Liaoning Sheng,大连市,Dalian Shi,旅顺口区,Lüshunkou Qu,平方千米 / 平方公里 square kilometers,3.8529,度分秒 DMS (degrees-minutes-seconds),38°49'N,121°20'E,公里/千米 kilometer,5
0053,牟家村志,320412109234,牟家村,Moujia Cun,江苏省,Jiangsu Sheng,常州市,Changzhou Shi,武进区,Wujin Qu,平方千米 / 平方公里 square kilometers,2.1,度分秒 DMS (degrees-minutes-seconds),31°N,120°E,公里/千米 kilometer,18
0054,西官庄村志,410523204205,西官庄村,Xiguanzhuang Cun,河南省,Henan Sheng,安阳市,Anyang Shi,汤阴县,Tangyin Xian,平方千米 / 平方公里 square kilometers,3.4676,度分秒 DMS (degrees-minutes-seconds),35°53′08″N,114°23′40″E,公里/千米 kilometer,5
0055,西园村志,350111101201,西园村,Xiyuan Cun,福建省,Fujian Sheng,福州市,Fuzhou Shi,晋安区,Jin'an Qu,没有相关数据 No Available Data,n/a,度分秒 DMS (degrees-minutes-seconds),26°5′N,119°20′E,没有相关数据 No Available Data,n/a
0056,沐陂村志,n/a,沐陂村,Mubei Cun,广东省,Guangdong Sheng,广东市,Guangdong Shi,天河区,Tianhe Qu,平方千米 / 平方公里 square kilometers,1.2792,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0057,尧治河村志,420626107221,尧治河村,Yaozhihe Cun,湖北省,Hubei Sheng,襄樊市,Xiangfan Shi,保康县,Baokang Xian,平方千米 / 平方公里 square kilometers,33.4,没有相关数据 No Available Data,,,公里/千米 kilometer,90
0058,袁家沟村志,210212013204,袁家沟村,Yuanjiagou Cun,辽宁省,Liaoning Sheng,大连市,Dalian Shi,旅顺口区,Lüshunkou Qu,平方千米 / 平方公里 square kilometers,6.3,没有相关数据 No Available Data,,,公里/千米 kilometer,20
0059,云水村志,410883100218,云水村,Yunshui Cun,河南省,Henan Sheng,焦作市,Jiaozuo Shi,孟州市,Mengzhou Shi,平方千米 / 平方公里 square kilometers,9,没有相关数据 No Available Data,,,公里/千米 kilometer,20
0060,平地村志,440605125226,平地村,Pingdi Cun,广东省,Guangdong Sheng,佛山市,Foshan Shi,南海区,Nanhai Qu,平方千米 / 平方公里 square kilometers,2.67,度分秒 DMS (degrees-minutes-seconds),23°7′4″N,113°9′1″E,没有相关数据 No Available Data,n/a
0061,西高庄村志,130604200205,西高庄村,Xigaozhuang Cun,河北省,Hebei Sheng,保定市,Baoding Shi,南市区,Nanshi Qu,平方千米 / 平方公里 square kilometers,3.3,度分秒 DMS (degrees-minutes-seconds),38°N,115°E,没有相关数据 No Available Data,n/a
0062,新华村志,420114070220,新华村,Xinhua Cun,湖北省,Hubei Sheng,武汉市,Wuhan Shi,蔡甸区,Caidian Qu,没有相关数据 No Available Data,n/a,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0063,盘山村志,410581106218,盘山村,Panshan Cun,河南省,Henan Sheng,安阳市,Anyang Shi,林州市,Linzhou Shi,平方千米 / 平方公里 square kilometers,30,度分秒 DMS (degrees-minutes-seconds),36°20′14″N,113°48′25″E,没有相关数据 No Available Data,n/a
0064,三路居村志,110106201203,三路居村,Sanluju Cun,北京市,Beijing Shi,北京市,Beijing Shi,丰台区,Fengtai Qu,平方千米 / 平方公里 square kilometers,1.7,度分秒 DMS (degrees-minutes-seconds),39°53′N,116°16′E,公里/千米 kilometer,3.7
0065,仙台村村志,110116103202,仙台村,Xiantai Cun,北京市,Beijing Shi,北京市,Beijing Shi,怀柔区,Huairou Qu,平方千米 / 平方公里 square kilometers,3.2,没有相关数据 No Available Data,,,公里/千米 kilometer,5.5
0066,四马台村志,110111208202,四马台村,Simatai Cun,北京市,Beijing Shi,北京市,Beijing Shi,房山区,Fangshan Qu,平方千米 / 平方公里 square kilometers,19.1,没有相关数据 No Available Data,,,没有相关数据 No Available Data,n/a
0067,西洞头村志,130429200212,西洞头村,Xidongtou Cun,河北省,Hebei Sheng,邯郸市,Handan Shi,永年县,Yongnian Xian,平方千米 / 平方公里 square kilometers,1.5,度分秒 DMS (degrees-minutes-seconds),36°45′N,114°15′E,公里/千米 kilometer,20
0068,五河苗族村志,522629104218,五河苗族村,Wuhe Miaozu Cun,贵州省,Guizhou Sheng,黔东南苗族侗族自治州,Qiandongnan Miaozu Dongzu Zizhizhou,剑河县,Jianhe Xian,平方千米 / 平方公里 square kilometers,24,没有相关数据 No Available Data,n/a,n/a,公里/千米 kilometer,23
