id,name,pinyin
190,鄂尔多斯市,Eerduosi Shi
191,鄂州市,Ezhou Shi
192,重庆市,Chongqing Shi
193,金华市,Jinhua Shi
194,铜陵市,Tongling Shi
195,银川市,Yinchuan Shi
196,锦州市,Jinzhou Shi
197,镇江市,Zhenjiang Shi
198,长春市,Changchun Shi
199,长沙市,Changsha Shi
200,长治市,Changzhi Shi
201,阜新市,Fuxin Shi
202,阳泉市,Yangquan Shi
203,青岛市,Qingdao Shi
204,鞍山市,Anshan Shi
205,香港特别行政区,Xianggang Tebie Xingzhengqu
206,黄山市,Huangshan Shi
207,黑河市,Heihe Shi
208,黔东南苗族侗族自治州,Qiandongnan Miaozu Dongzu Zizhizhou
209,黔西南布依族苗族自治州,Qianxi'nan Buyizu Miaozu Zizhizhou
210,齐齐哈尔市,Qiqihaer Shi
211,龙岩市,Longyan Shi
